id,condition,countleft,countright,gazetime
wp01,Left,3,10,6302
wp02,Control,13,4,16901
wp03,Right,11,4,11854
wp04,Control,4,4,5860
wp05,Control,4,0,2972
wp06,Right,4,2,3707
wp08,Right,0,5,6720
wp09,Control,9,0,8253
wp18,Right,0,4,14411
wp19,Control,7,1,4764
wp20,Left,39,0,16521
wp21,Right,8,4,8890
wp22,Left,5,4,9844
wp23,Left,6,5,16914
wp24,Right,3,5,13273
wp25,Left,4,2,14485
wp26,Control,8,9,8826
wp28,Control,7,3,7713
wp29,Control,2,3,5301
wp31,Left,8,3,13295
wp32,Left,19,0,14889
wp33,Left,4,2,9009
wp34,Right,1,2,9127
wp35,Right,0,0,9371
wp36,Right,17,3,16438
wp37,Control,4,9,14132
wp38,Left,1,1,6118
wp39,Right,8,9,16105
wp40,Right,5,4,14676
wp41,Right,8,7,14923
wp42,Left,2,0,1934
wp43,Control,4,0,5958
wp44,Left,6,6,11836
wp45,Left,0,1,14502
wp46,Left,8,10,12094
wp48,Control,6,9,10403
wp49,Control,12,6,17595
wp50,Control,2,6,10047
wp51,Left,15,0,15103
wp52,Control,3,6,9261
wp53,Left,12,2,13612
wp54,Right,1,8,10640
wp55,Control,2,4,11620
wp56,Left,4,15,12816
wp57,Right,6,8,17474
wp58,Right,6,5,8609
wp60,Right,4,10,8768
wp61,Control,1,1,14846
