id,hrs1,wrkslf,age,educ,paeduc,maeduc,sex,polviews,sei,pasei,masei
1,40,someone else,25,14,12,12,female,conservative,57.099998,36.5,
2,72,someone else,43,16,12,12,male,conservative,48.5,26.5,
3,40,someone else,30,13,12,,female,,68.099998,33.299999,
4,60,someone else,55,2,8,8,female,,73.199997,37.299999,
5,40,someone else,37,7,16,10,male,,44.700001,38.200001,26.700001
6,42,someone else,47,12,8,8,male,conservative,47.599998,35.099998,33.099998
7,,someone else,57,16,16,12,female,,78.5,48.5,
8,,someone else,71,12,,,female,,34.599998,,
9,40,someone else,46,14,20,12,male,conservative,63.5,84.199997,73.199997
10,14,someone else,19,13,,18,female,,38.400002,,80.900002
11,45,someone else,52,14,12,11,male,,61.900002,60.5,
12,50,self-employed,48,11,10,12,male,,63.5,63.5,
13,30,self-employed,49,18,16,12,male,,63.5,62.5,17.1
14,24,someone else,71,12,12,16,female,slghtly conservative,38.400002,64.099998,
15,,someone else,30,12,0,0,female,,73.199997,50.700001,
16,,someone else,35,12,12,12,female,,31.4,36.5,39.400002
17,,someone else,51,12,16,12,female,slghtly conservative,53.5,86,
18,50,someone else,37,15,,12,male,slghtly conservative,26.4,,63.5
19,88,someone else,35,13,12,18,male,slghtly conservative,48.900002,29.5,73.199997
20,55,someone else,28,15,15,,male,,63.5,50.700001,
21,54,someone else,34,13,,12,female,,50.700001,,26.4
22,60,someone else,23,12,12,14,male,moderate,29.5,,50.700001
23,70,someone else,33,16,16,16,male,liberal,50.700001,76.400002,
24,,someone else,46,16,12,12,female,,38.5,31.5,73.199997
25,40,someone else,61,14,14,12,male,,61.900002,37.400002,
26,,someone else,81,12,8,11,female,,29.299999,37.299999,
27,,self-employed,69,14,8,8,female,slightly liberal,62,63.5,
28,36,self-employed,36,17,19,10,female,,60.5,83.699997,38.400002
29,24,someone else,23,12,,,female,,32.400002,37.299999,
30,6,someone else,28,9,,8,female,,29.1,,22.700001
31,40,someone else,52,14,4,,female,,60.5,27.700001,
32,40,someone else,57,16,12,12,male,moderate,66.099998,50.700001,63.200001
33,65,someone else,42,16,16,18,female,slightly liberal,75.199997,62.5,73.199997
34,44,someone else,63,17,12,12,male,slghtly conservative,80.900002,50.700001,
35,40,self-employed,55,16,8,16,male,,75.900002,37.299999,71.599998
36,,someone else,77,8,8,9,male,moderate,75.199997,45.799999,
37,46,someone else,26,14,,12,female,slightly liberal,64.199997,,38.400002
38,70,someone else,51,20,11,14,female,moderate,62.5,31.5,17.1
39,35,self-employed,43,14,18,14,male,,82.699997,87.400002,85.099998
40,60,someone else,56,13,12,9,male,,48.900002,31.5,63.5
41,,someone else,76,16,8,8,female,conservative,68.099998,63.5,37.700001
42,37,someone else,27,10,9,9,female,,29,32.700001,29
43,50,someone else,60,17,13,13,female,moderate,85.099998,31.5,63.5
44,50,someone else,31,14,9,14,female,,83.699997,31.5,25.5
45,,someone else,50,13,16,12,female,,85.099998,93.300003,73.199997
46,40,someone else,21,10,12,12,male,slightly liberal,45.400002,35.099998,38.400002
47,,someone else,20,9,,11,male,extremely liberal,38.900002,,
48,,,71,14,,6,male,moderate,,,
49,42,someone else,48,12,9,11,female,,57.099998,49.599998,32.400002
50,,someone else,21,12,,16,female,,38.900002,,63.200001
51,,someone else,66,12,9,8,female,slghtly conservative,38.400002,36.5,22.700001
52,,someone else,69,15,3,11,male,slghtly conservative,65.199997,50.5,
53,25,self-employed,53,13,8,16,male,moderate,30,30,
54,40,someone else,25,17,,12,female,,80.300003,,57.099998
55,40,someone else,48,20,6,12,male,,72,43.200001,69.699997
56,40,someone else,45,13,14,18,male,moderate,62.099998,84.699997,78.5
57,,someone else,75,13,12,12,female,moderate,25.200001,48.5,
58,50,someone else,40,16,17,13,female,,80.300003,86.599998,56.599998
59,,someone else,69,12,10,7,female,moderate,34.400002,34.200001,71.599998
60,,someone else,31,14,10,12,female,,37.700001,36.5,28.4
61,40,someone else,49,18,12,10,male,,83.699997,39.400002,26.700001
62,50,someone else,27,14,12,12,female,,63.5,64.199997,36.700001
63,60,someone else,64,19,10,12,female,moderate,69.199997,26.5,37.700001
64,40,someone else,48,12,10,,female,slightly liberal,38.400002,50.700001,33.099998
65,40,someone else,62,8,3,7,male,conservative,38.5,29.200001,
66,,self-employed,76,12,,,male,,32.299999,37.299999,
