year,id,wrkstat,hrs1,marital,sex,pres00,pres04,polviews,happy,health,abany,premarsx,pornlaw
2006,1,WORKING FULLTIME,35,NEVER MARRIED,FEMALE,GORE,KERRY,EXTREMELY LIBERAL,PRETTY HAPPY,FAIR,YES,,ILLEGAL TO ALL
2006,2,WORKING FULLTIME,40,NEVER MARRIED,MALE,,,SLIGHTLY LIBERAL,VERY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,3,RETIRED,,DIVORCED,FEMALE,,,CONSERVATIVE,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL TO ALL
2006,4,WORKING PARTTIME,24,NEVER MARRIED,FEMALE,GORE,KERRY,SLIGHTLY LIBERAL,VERY HAPPY,EXCELLENT,YES,NOT WRONG AT ALL,
2006,5,SCHOOL,,NEVER MARRIED,MALE,,KERRY,LIBERAL,PRETTY HAPPY,GOOD,YES,NOT WRONG AT ALL,
2006,6,WORKING FULLTIME,37,MARRIED,FEMALE,GORE,,MODERATE,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL TO ALL
2006,7,WORKING FULLTIME,40,WIDOWED,FEMALE,,,,PRETTY HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,8,"UNEMPL, LAID OFF",,NEVER MARRIED,FEMALE,,KERRY,MODERATE,,FAIR,,,
2006,9,WORKING FULLTIME,38,NEVER MARRIED,FEMALE,,KERRY,CONSERVATIVE,PRETTY HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,10,WORKING FULLTIME,35,NEVER MARRIED,FEMALE,GORE,BUSH,SLIGHTLY LIBERAL,VERY HAPPY,FAIR,YES,NOT WRONG AT ALL,
2006,11,RETIRED,,WIDOWED,FEMALE,BUSH,KERRY,MODERATE,NOT TOO HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,12,OTHER,,NEVER MARRIED,MALE,,,MODERATE,PRETTY HAPPY,POOR,NO,,
2006,13,SCHOOL,,NEVER MARRIED,MALE,NADER,KERRY,MODERATE,NOT TOO HAPPY,EXCELLENT,YES,,ILLEGAL UNDER 18
2006,14,WORKING FULLTIME,43,DIVORCED,MALE,GORE,KERRY,MODERATE,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,15,KEEPING HOUSE,,MARRIED,FEMALE,BUSH,BUSH,MODERATE,VERY HAPPY,,,ALWAYS WRONG,ILLEGAL TO ALL
2006,16,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,KERRY,LIBERAL,,EXCELLENT,,,
2006,17,RETIRED,,NEVER MARRIED,MALE,GORE,,SLGHTLY CONSERVATIVE,VERY HAPPY,GOOD,NO,,
2006,18,SCHOOL,,NEVER MARRIED,FEMALE,,,MODERATE,PRETTY HAPPY,,,NOT WRONG AT ALL,
2006,19,WORKING PARTTIME,28,NEVER MARRIED,FEMALE,,,MODERATE,PRETTY HAPPY,FAIR,NO,,ILLEGAL UNDER 18
2006,20,SCHOOL,,NEVER MARRIED,FEMALE,,KERRY,MODERATE,,EXCELLENT,,,
2006,21,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,,MODERATE,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL TO ALL
2006,22,RETIRED,,NEVER MARRIED,MALE,,,LIBERAL,NOT TOO HAPPY,GOOD,YES,,
2006,23,SCHOOL,,NEVER MARRIED,FEMALE,,KERRY,MODERATE,,FAIR,,,
2006,24,WORKING FULLTIME,50,NEVER MARRIED,MALE,,,LIBERAL,,FAIR,,,
2006,25,KEEPING HOUSE,,NEVER MARRIED,FEMALE,,KERRY,LIBERAL,,GOOD,,,
2006,26,OTHER,,NEVER MARRIED,MALE,,,MODERATE,,FAIR,,,
2006,27,KEEPING HOUSE,,MARRIED,FEMALE,,,SLIGHTLY LIBERAL,PRETTY HAPPY,POOR,YES,,ILLEGAL UNDER 18
2006,28,WORKING FULLTIME,37,NEVER MARRIED,MALE,,,MODERATE,,GOOD,,,
2006,29,RETIRED,,MARRIED,FEMALE,,,MODERATE,PRETTY HAPPY,GOOD,NO,,
2006,30,OTHER,,SEPARATED,MALE,,KERRY,EXTREMELY LIBERAL,,FAIR,,,
2006,31,WORKING FULLTIME,40,DIVORCED,FEMALE,,,MODERATE,PRETTY HAPPY,FAIR,YES,,ILLEGAL UNDER 18
2006,32,RETIRED,,SEPARATED,FEMALE,,,LIBERAL,,POOR,,,
2006,33,WORKING FULLTIME,40,MARRIED,FEMALE,,NADER,MODERATE,,POOR,,,
2006,34,WORKING PARTTIME,,DIVORCED,FEMALE,,,MODERATE,PRETTY HAPPY,EXCELLENT,NO,NOT WRONG AT ALL,
2006,35,WORKING FULLTIME,40,MARRIED,FEMALE,,,,VERY HAPPY,,,,ILLEGAL TO ALL
