pubid,gender97,ethnic97,hh18_97,psmoke97
1,2,Non-Hispanic,1,5
2,1,Hispanic,2,1
3,2,Hispanic,1,4
4,2,Hispanic,1,5
5,1,Hispanic,2,3
6,2,Hispanic,3,5
7,1,Hispanic,3,5
8,2,Non-Hispanic,3,2
9,1,Non-Hispanic,3,2
10,1,Non-Hispanic,3,1
11,2,Hispanic,2,5
12,1,Hispanic,2,3
13,1,Hispanic,3,1
14,1,Hispanic,1,1
15,2,Hispanic,2,3
16,1,Hispanic,1,3
17,2,Hispanic,4,3
18,1,Non-Hispanic,5,4
19,1,Non-Hispanic,5,5
20,1,Non-Hispanic,2,3
21,1,Hispanic,2,2
22,1,Hispanic,1,5
23,2,Hispanic,2,5
24,1,Hispanic,4,3
25,2,Hispanic,3,5
26,1,Non-Hispanic,2,4
27,1,Non-Hispanic,4,5
28,2,Non-Hispanic,2,1
29,2,Non-Hispanic,2,3
30,1,Non-Hispanic,1,3
31,1,Non-Hispanic,1,3
32,2,Non-Hispanic,1,3
33,2,Non-Hispanic,1,4
34,2,Non-Hispanic,1,1
35,1,Non-Hispanic,2,.b
36,2,Non-Hispanic,2,4
37,2,Non-Hispanic,2,2
38,2,Non-Hispanic,2,3
39,1,Hispanic,2,3
40,2,Non-Hispanic,1,1
41,2,Non-Hispanic,3,1
42,1,Non-Hispanic,2,1
43,2,Non-Hispanic,1,4
44,1,Hispanic,2,4
45,2,Non-Hispanic,6,3
46,1,Non-Hispanic,6,3
47,2,Non-Hispanic,2,4
48,2,Non-Hispanic,2,3
49,2,Non-Hispanic,1,3
50,2,Non-Hispanic,2,3
51,1,Non-Hispanic,4,.b
52,1,Non-Hispanic,4,.b
53,2,Non-Hispanic,2,1
54,2,Non-Hispanic,3,1
55,2,Hispanic,3,3
56,2,Non-Hispanic,2,3
57,1,Non-Hispanic,3,1
58,1,Non-Hispanic,2,1
59,2,Non-Hispanic,1,1
60,1,Non-Hispanic,3,1
61,2,Non-Hispanic,2,4
62,1,Non-Hispanic,2,2
63,2,Non-Hispanic,2,4
64,1,Non-Hispanic,1,4
65,1,Non-Hispanic,3,3
66,1,Non-Hispanic,3,3
67,1,Non-Hispanic,3,3
68,1,Non-Hispanic,3,3
69,2,Non-Hispanic,2,2
70,1,Non-Hispanic,2,2
71,1,Non-Hispanic,1,3
72,2,Non-Hispanic,2,2
73,1,Non-Hispanic,2,1
74,1,Non-Hispanic,2,1
75,1,Non-Hispanic,2,2
76,1,Non-Hispanic,2,.b
77,2,Hispanic,2,1
78,2,Non-Hispanic,1,3
79,1,Hispanic,1,1
80,1,Non-Hispanic,3,2
81,2,Non-Hispanic,1,4
82,1,Hispanic,4,1
83,1,Hispanic,3,.b
84,2,Hispanic,3,2
85,1,Non-Hispanic,3,1
86,2,Non-Hispanic,1,4
87,1,Hispanic,2,1
88,1,Non-Hispanic,3,3
89,1,Non-Hispanic,6,4
90,1,Hispanic,2,5
91,2,Hispanic,2,5
92,1,Non-Hispanic,2,.b
93,1,Hispanic,2,1
94,2,Non-Hispanic,1,2
95,1,Hispanic,1,1
96,1,Non-Hispanic,2,3
97,1,Hispanic,1,3
98,1,Non-Hispanic,2,1
99,1,Hispanic,4,.b
100,2,Non-Hispanic,1,4
101,2,Non-Hispanic,5,5
102,2,Hispanic,3,4
103,2,Hispanic,3,3
104,2,Non-Hispanic,4,4
105,1,Non-Hispanic,4,1
106,1,Non-Hispanic,2,3
107,2,Non-Hispanic,4,5
108,1,Non-Hispanic,4,1
109,2,Non-Hispanic,4,1
110,2,Non-Hispanic,4,1
111,2,Non-Hispanic,1,4
112,2,Non-Hispanic,2,2
113,1,Non-Hispanic,4,3
114,2,Non-Hispanic,1,4
115,2,Hispanic,1,5
116,1,Non-Hispanic,3,2
117,1,Non-Hispanic,3,2
118,1,Non-Hispanic,1,3
119,1,Non-Hispanic,2,3
120,1,Non-Hispanic,1,4
121,1,Non-Hispanic,2,2
122,1,Non-Hispanic,2,1
123,1,Non-Hispanic,2,3
124,1,Non-Hispanic,2,3
125,2,Non-Hispanic,3,1
126,1,Non-Hispanic,2,4
127,2,Non-Hispanic,2,3
128,2,Non-Hispanic,2,4
129,2,Non-Hispanic,2,3
130,2,Non-Hispanic,2,4
131,1,Non-Hispanic,1,3
132,1,Non-Hispanic,2,3
133,1,Non-Hispanic,2,3
134,1,Non-Hispanic,2,1
135,1,Non-Hispanic,1,4
136,2,Non-Hispanic,3,3
137,2,Non-Hispanic,1,5
138,1,Non-Hispanic,3,1
139,2,Non-Hispanic,2,1
140,1,Hispanic,3,1
141,2,Non-Hispanic,1,4
142,2,Non-Hispanic,3,4
143,1,Non-Hispanic,2,1
144,1,Non-Hispanic,3,5
145,1,Non-Hispanic,3,2
146,1,Non-Hispanic,2,1
147,2,Non-Hispanic,1,1
148,2,Non-Hispanic,2,3
149,2,Non-Hispanic,3,2
150,1,Non-Hispanic,3,1
151,2,Non-Hispanic,3,5
152,1,Non-Hispanic,3,1
153,2,Non-Hispanic,3,4
154,1,Non-Hispanic,1,3
155,1,Non-Hispanic,2,3
156,1,Non-Hispanic,2,3
157,2,Hispanic,1,3
158,1,Hispanic,3,1
159,2,Hispanic,3,1
160,2,Hispanic,4,5
161,1,Hispanic,4,3
162,2,Non-Hispanic,4,4
163,1,Non-Hispanic,4,3
164,2,Non-Hispanic,2,3
165,1,Non-Hispanic,3,3
166,2,Non-Hispanic,3,3
167,1,Hispanic,1,1
168,1,Hispanic,1,3
169,2,Non-Hispanic,3,2
170,2,Non-Hispanic,3,2
171,2,Hispanic,2,2
172,1,Non-Hispanic,1,1
173,2,Non-Hispanic,2,3
174,1,Non-Hispanic,2,1
175,2,Non-Hispanic,1,4
176,1,Non-Hispanic,3,4
177,2,Non-Hispanic,1,4
178,2,Non-Hispanic,3,2
179,2,Non-Hispanic,3,2
180,1,Non-Hispanic,3,1
181,2,Non-Hispanic,2,2
182,2,Non-Hispanic,2,1
183,2,Non-Hispanic,1,4
184,1,Non-Hispanic,2,2
185,1,Non-Hispanic,1,4
186,2,Non-Hispanic,2,4
187,1,Hispanic,4,4
188,2,Non-Hispanic,1,4
189,2,Non-Hispanic,1,2
190,1,Non-Hispanic,2,4
191,1,Non-Hispanic,1,3
192,2,Hispanic,2,3
193,2,Non-Hispanic,3,5
194,2,Hispanic,2,4
195,1,Non-Hispanic,1,3
196,1,Hispanic,1,1
197,2,Non-Hispanic,2,3
198,2,Non-Hispanic,2,4
199,1,Non-Hispanic,1,1
200,1,Non-Hispanic,1,3
201,2,Non-Hispanic,1,2
202,1,Non-Hispanic,2,1
203,2,Non-Hispanic,2,2
204,2,Non-Hispanic,2,5
205,2,Non-Hispanic,2,4
206,1,Non-Hispanic,3,4
207,2,Non-Hispanic,5,3
208,2,Non-Hispanic,5,1
209,1,Hispanic,3,3
210,1,Hispanic,3,1
211,2,Hispanic,1,1
212,1,Hispanic,2,3
213,2,Hispanic,2,1
214,2,Hispanic,3,4
215,1,Hispanic,3,3
216,2,Hispanic,2,4
217,2,Hispanic,1,2
218,1,Hispanic,1,1
