respid,sample,int_date,fcall,attempt,refusal,ilang,cregion,state,density,usr,scregion,sstate,susr,sdensity,igender,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,form,llitext,phtype,qs1,q1,q2,campnii,q7,q8,q11,q12,q13,q28a,q28b,q28c,q28df1,q28e,q28ff1,q28gf1,q28hf1,q28if1,q28jf2,q28kf2,q28lf2,q28mf2,q28nf2,q28of2,q28pf2,q33af1,q33bf1,q33cf1,q33df1,q33ef2,q33ff2,q33gf2,q33hf2,q44a,q44b,q45a,q45b,q46,q50af1,q50bf1,q50cf1,q50df2,q50ef2,q51af1,q51bf1,q51cf2,q51df2,q58,q59,q64f1,q65f2,q66a,q66b,q66c,q66df1,q66e,q66ff2,q73,q74,q74a,q74b,q75,q76,q77,q78,q79,q83a,q83b,q84,q93,q96,q97,q98,q99,q100a,q100b,q100c,q100d,sex,age,educ,hisp,racecmb,racethn,birth_hisp,relig,chr,born,attend,income,reg,party,partyln,q101,partysum,ideo,partyideo,partysumideo,hh1,hh3,adults,ql1,ql1a,qc1,ll,cp,money2,cellweight,weight
1,Landline,180918,180918,1,No,English,South,GA,3,S,South,GA,S,3,Female,No,White,,,,FORM 2,Youngest Male,0,18 or older,Dissatisfied,Approve,Very closely,Republican Party's candidate,,Less,"Yes, will be a factor",Trump not much of a factor,Very important,Somewhat important,Very important,,,,,,,Very important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,,,,,Not even tempered,Not well informed,Keeps his promises,Stands up for what he believes in,Good,Better,Only fair shape,Improve some,No more secure today than it was before the 2008 economic crisis,,,,Republican Party,Republican Party,,,Republican Party,Republican Party,,Somewhat concerned,,Because he or she worked harder than most other people [OR],Statement #1,Statement #2,Statement #1,,Statement #2,Statement #2,Protect the right of Americans to own guns,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Should BOTH be given equal priority,,Good for the United States,Illegal in most cases,"No, illegal",Mostly favorable,Mostly unfavorable,(VOL) Can't rate,A lot,Not too confident [OR],Somewhat confident,Right decision,Mostly failed,,,,,Male,56,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,Mixed Race,Other,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian...etc.)",,"Yes, would",Once or twice a month,"$150,000 or more",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Conservative,Ind,Cons Rep/ln Rep,2,2,2,"Yes, have cell phone",,,Landline,Cellphone,,,.3347769
2,Landline,180918,180918,1,No,English,South,MD,4,S,South,MD,S,4,Female,No,White,,,,FORM 1,Youngest Male,0,18 or older,Dissatisfied,Disapprove,Fairly closely,Democratic Party's candidate,,More,"Yes, will be a factor",Trump not much of a factor,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,,,,,,,,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,Only fair,Same,Good shape,(VOL) Don't know/Refused,More secure today than it was before the 2008 economic crisis [OR],Republican Party,Republican Party,Democratic Party,,,Democratic Party,Democratic Party,,,Very concerned,,(VOL) Don't know/Refused,,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Creating a way for immigrants already here illegally to become citizens if they meet certain requirements,Disapprove,,Legal in all cases,"Yes, legal",Mostly unfavorable,Mostly favorable,Very favorable,A lot,Very confident,Not at all confident,,,,,,,Male,80,"Postgraduate or professional degree, including master's, doctorate, medical or law degree",No,Don't know/Refused (VOL.),Don't know/Refused (VOL.),,Atheist (do not believe in God),,,Seldom,"75 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,,Dem/lean Dem,Very liberal,Lib Dem,Lib Dem/ln Dem,2,2,2,"Yes, have cell phone",,,Landline,Cellphone,,,.3878652
3,Landline,180920,180918,3,No,English,Northeast,NY,2,U,Northeast,NY,U,Highest,Female,Yes,White,,,,FORM 2,Youngest Female,0,18 or older,Dissatisfied,Disapprove,Very closely,Democratic Party's candidate,,More,"Yes, will be a factor",Against Trump,Very important,Very important,Very important,,,,,,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Stands up for what he believes in,(VOL) Don't know/Refused,(VOL) Don't know/Refused,Only fair shape,(VOL) Don't know/Refused,(VOL) Don't know/Refused,,,,Democratic Party,Democratic Party,,,Republican Party,Republican Party,,Not too concerned [OR],,(VOL) Don't know/Refused,Statement #1,Statement #1,Statement #1,,Statement #2,(VOL) Don't know/Refused,Control gun ownership,"Yes, government responsibility",Continue to be provided through a mix of private insurance companies and government programs,,Should BOTH be given equal priority,,(VOL) Don't know/Refused,Legal in all cases,"Yes, legal",Mostly unfavorable,Mostly favorable,Mostly favorable,A lot,Very confident,Not at all confident,(VOL) Don't know/Refused,(VOL) Don't know/Refused,,,,,Female,51,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Jewish (Judaism),,,A few times a year,"$150,000 or more",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,,Dem/lean Dem,Liberal [OR],Lib Dem,Lib Dem/ln Dem,2,2,2,"Yes, have cell phone",,,Landline,Cellphone,,,.5577467
4,Landline,180918,180918,1,No,English,South,GA,4,S,South,GA,S,4,Male,No,White,,,,FORM 2,Youngest Male,1,18 or older,Dissatisfied,Disapprove,Fairly closely,Democratic Party's candidate,,(VOL) Same,"Yes, will be a factor",Against Trump,Very important,Very important,Very important,,,,,,,Very important,Not too important,Very important,Very important,Very important,Not too important,Very important,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Stands up for what he believes in,Only fair,Same,Good shape,Improve some,No more secure today than it was before the 2008 economic crisis,,,,Democratic Party,Democratic Party,,,Democratic Party,Democratic Party,,Somewhat concerned,,Because he or she had more advantages in life than most other people,Statement #2,Statement #1,Statement #1,,Statement #2,Statement #1,Control gun ownership,"Yes, government responsibility",Continue to be provided through a mix of private insurance companies and government programs,,Should BOTH be given equal priority,,Good for the United States,(VOL) Don't know/Refused,"Yes, legal",Very unfavorable,Very favorable,(VOL) Can't rate,Nothing at all,Not too confident [OR],Not at all confident,Wrong decision,Mostly failed,,,,,Female,49,Two year associate degree from a college or university,No,Black or African-American,Black non-Hispanic,,(VOL) Christian,,"Yes, would",More than once a week,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,,Dem/lean Dem,Moderate,Cons-Mod Dem,Cons-Mod Dem/ln Dem,1,,1,"Yes, have cell phone",,,Landline,Cellphone,,,1.0142931
5,Landline,180918,180918,1,No,English,Northeast,NY,Highest,U,Northeast,NY,U,Highest,Male,No,Black or African-American,,,,FORM 1,Youngest Male,0,18 or older,Dissatisfied,Disapprove,Not at all closely,Democratic Party's candidate,,More,"Yes, will be a factor",Against Trump,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not at all important,Not at all important,,,,,,,,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,Good,Better,Good shape,Improve some,More secure today than it was before the 2008 economic crisis [OR],Republican Party,Democratic Party,Democratic Party,,,Democratic Party,Democratic Party,,,Very concerned,,Lack of effort,,Statement #2,Statement #2,Statement #1,Statement #2,(VOL) Neither/Both equally,,Control gun ownership,"Yes, government responsibility",Continue to be provided through a mix of private insurance companies and government programs,,Should BOTH be given equal priority,Disapprove,,Legal in most cases,"Yes, legal",Very unfavorable,Very favorable,(VOL) Refused,A lot,Very confident,Not at all confident,,,,,,,Male,37,"Postgraduate or professional degree, including master's, doctorate, medical or law degree",No,White,White non-Hispanic,,(VOL) Christian,,"Yes, would",Once or twice a month,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Republicans in Congress do NOT have an obligation to support Donald Trump's policies & programs if they disagree w/ him,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,3,3,3+,"Yes, have cell phone",,,Landline,Cellphone,,,1.0514367
6,Landline,180918,180918,1,No,English,South,WV,Lowest,R,South,WV,R,Lowest,Male,No,White,,,,FORM 2,Youngest Male,1,18 or older,Satisfied,Approve,Fairly closely,Democratic Party's candidate,,More,"Yes, will be a factor",For Trump,Very important,Very important,Not at all important,,,,,,,Very important,Very important,Not at all important,Very important,Very important,Very important,Very important,,,,,Even tempered,Well informed,Keeps his promises,Stands up for what he believes in,Good,Same,Excellent shape,(VOL) Stay the same,(VOL) Don't know/Refused,,,,Democratic Party,Democratic Party,,,Democratic Party,Democratic Party,,Very concerned,,Because he or she had more advantages in life than most other people,Statement #1,Statement #1,Statement #2,,Statement #1,Statement #2,Protect the right of Americans to own guns,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Better border security and stronger enforcement of our immigration laws,,Good for the United States,Legal in all cases,"No, illegal",Mostly favorable,Mostly unfavorable,Mostly favorable,A lot,Somewhat confident,Very confident,Wrong decision,Mostly succeeded,Excellent,Only fair,Excellent,Only fair,Male,82,"Some postgraduate or professional schooling, no postgraduate degree (e.g. some graduate school)",No,White,White non-Hispanic,,Roman Catholic (Catholic),,"No, would not",Seldom,"40 to under $50,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Republicans in Congress have an obligation to support Donald Trump's policies & programs because he is a Rep. president,Rep/lean Rep,Moderate,Mod-Lib Rep,Mod-Lib Rep/ln Rep,2,2,2,"Yes, have cell phone",,,Landline,Cellphone,,,.2808725
8,Landline,180918,180918,1,No,English,Northeast,PA,2,S,Northeast,PA,S,2,Male,No,White,,,,FORM 2,Youngest Female,2,18 or older,Satisfied,Approve,Not too closely,Republican Party's candidate,,More,"Yes, will be a factor",For Trump,Very important,Very important,Not too important,,,,,,,Very important,Not too important,Very important,Not too important,Very important,Not too important,Not too important,,,,,Even tempered,Well informed,Keeps his promises,Stands up for what he believes in,Only fair,Better,Only fair shape,(VOL) Stay the same,More secure today than it was before the 2008 economic crisis [OR],,,,Republican Party,Republican Party,,,Republican Party,Republican Party,,Not too concerned [OR],,Because he or she worked harder than most other people [OR],Statement #2,Statement #2,Statement #1,,Statement #2,Statement #2,Protect the right of Americans to own guns,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Better border security and stronger enforcement of our immigration laws,,Bad for the United States,Illegal in all cases,"No, illegal",Very favorable,Mostly favorable,Mostly favorable,A little [OR],Somewhat confident,Somewhat confident,Right decision,Mostly succeeded,Only fair,Only fair,Only fair,Only fair,Male,80,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Roman Catholic (Catholic),,"No, would not",Once a week,"10 to under $20,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,,Dem/lean Dem,Moderate,Cons-Mod Dem,Cons-Mod Dem/ln Dem,2,2,2,"No, do not","Yes, someone in household has cell phone",,Landline,No cellphone,,,2.5463809
9,Landline,180918,180918,1,No,English,South,NC,Lowest,R,South,NC,R,Lowest,Female,No,White,,,,FORM 1,Youngest Female,0,18 or older,Dissatisfied,Disapprove,Not at all closely,Democratic Party's candidate,,More,"Yes, will be a factor",Trump not much of a factor,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,,,,,,,,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,Poor,Better,Only fair shape,Improve a lot,No more secure today than it was before the 2008 economic crisis,Republican Party,Democratic Party,Democratic Party,,,Democratic Party,Democratic Party,,,Very concerned,,Circumstances beyond control,,Statement #2,Statement #1,Statement #2,Statement #2,Statement #2,,Protect the right of Americans to own guns,"Yes, government responsibility",Continue to be provided through a mix of private insurance companies and government programs,,Should BOTH be given equal priority,Disapprove,,Legal in most cases,"Yes, legal",Mostly unfavorable,Mostly favorable,Mostly favorable,A little [OR],Not at all confident,Not at all confident,,,,,,,Female,30,High school graduate (Grade 12 with diploma or GED certificate),No,Or some other race,Other,,Nothing in particular,,,Once a week,"10 to under $20,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,,Dem/lean Dem,Conservative,Ind,Cons-Mod Dem/ln Dem,1,,1,"Yes, have cell phone",,,Landline,Cellphone,,,1.4677813
10,Landline,180918,180918,1,No,English,South,SC,Lowest,R,South,SC,R,Lowest,Male,No,White,,,,FORM 2,Youngest Male,0,18 or older,Satisfied,Approve,Not too closely,(VOL) Other,(VOL) Other,Less,"No, will not",(VOL) Don't know/Refused,Very important,Very important,Somewhat important,,,,,,,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,,,,,Not even tempered,(VOL) Don't know/Refused,Keeps his promises,Stands up for what he believes in,Only fair,Better,Good shape,(VOL) Don't know/Refused,(VOL) Don't know/Refused,,,,(VOL) Don't know/Refused,(VOL) Neither,,,(VOL) Neither,Democratic Party,,Not at all concerned,,(VOL) Don't know/Refused,Statement #1,Statement #2,(VOL) Don't know/Refused,,Statement #2,Statement #2,Protect the right of Americans to own guns,"No, not government responsibility",,Continue programs like Medicare and Medicaid for seniors and the very poor,Should BOTH be given equal priority,,Good for the United States,Illegal in all cases,"Yes, legal",Mostly favorable,Mostly favorable,(VOL) Can't rate,A lot,Very confident,(VOL) Don't know/Refused,Right decision,(VOL) Don't know/Refused,,,,,Male,72,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,Black non-Hispanic,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian...etc.)",,"Yes, would",Once a week,"30 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,,Dem/lean Dem,Moderate,Cons-Mod Dem,Cons-Mod Dem/ln Dem,2,2,2,"Yes, have cell phone",,,Landline,Cellphone,,,1.3725834
12,Landline,180918,180918,1,No,English,Northeast,PA,3,S,Northeast,PA,S,3,Female,No,White,,,,FORM 1,Youngest Female,1,18 or older,Dissatisfied,Disapprove,Fairly closely,Democratic Party's candidate,,More,"Yes, will be a factor",Against Trump,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,,,,,,,,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,Only fair,Worse,Good shape,Improve a lot,More secure today than it was before the 2008 economic crisis [OR],Republican Party,Democratic Party,Democratic Party,,,Democratic Party,Democratic Party,,,Very concerned,,Circumstances beyond control,,Statement #2,Statement #1,Statement #1,Statement #1,Statement #2,,Control gun ownership,"Yes, government responsibility",Be provided through a single national health insurance system run by the government [OR],,Should BOTH be given equal priority,(VOL) Don't know/Refused,,Legal in most cases,"Yes, legal",Very unfavorable,Very favorable,Very unfavorable,A lot,Very confident,Not at all confident,,,,,,,Female,66,"Some college, no degree (includes some community college)",No,White,White non-Hispanic,,Agnostic (not sure if there is a God),,,Never,"40 to under $50,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,,Dem/lean Dem,Liberal [OR],Lib Dem,Lib Dem/ln Dem,2,2,2,"Yes, have cell phone",,,Landline,Cellphone,,,.4524285
