iv,ec,caseid,south,dem,te,cut_hi,_st,_d,_t,_t0
1,1.22795,1807,0,1,90,0,1,0,90,78
.74000001,1.64868,3313,0,1,89,0,1,0,89,78
.77999997,1.4783601,3310,0,1,89,0,1,0,89,78
1,.68254799,907,1,1,78,0,1,0,78,65
1,.67033798,907,1,1,88,0,1,0,88,78
.77999997,1.4177001,3310,0,1,78,0,1,0,78,65
.67000002,1.68832,3009,0,1,70,0,1,0,70,65
.74000001,1.49721,3313,0,1,78,0,1,0,78,65
.69,1.51466,533,0,0,67,0,1,0,67,65
1,.62364298,907,1,1,53,0,1,0,53,26
.80000001,1.0256,4101,1,0,83,0,1,0,83,78
.74000001,1.46822,3313,0,1,65,0,1,0,65,53
.77999997,1.3602,3310,0,1,65,0,1,0,65,53
1,.575342,907,1,1,26,0,1,0,26,0
.69,1.45709,533,0,0,53,0,1,0,53,26
.80000001,.97213203,4101,1,0,78,0,1,0,78,65
.69,1.4502701,533,0,0,65,0,1,0,65,53
1,.54341698,907,1,1,65,0,1,0,65,53
.74000001,1.39326,3313,0,1,53,0,1,0,53,26
.67000002,1.56399,527,0,1,59,0,1,0,59,53
1,.52762902,4209,1,1,50,1,1,1,50,26
1,.714912,3603,0,1,53,0,1,0,53,26
1,.70405501,3603,0,1,26,0,1,0,26,0
.77999997,1.24184,3310,0,1,53,0,1,0,53,26
.80000001,.88170397,4101,1,0,53,0,1,0,53,26
.95999998,.56703299,204,1,1,75,0,1,0,75,65
.80000001,.87591302,4101,1,0,65,0,1,0,65,53
.95999998,.56303698,204,1,1,53,0,1,0,53,26
.95999998,.55818599,204,1,1,65,0,1,0,65,53
.67000002,1.4857301,527,0,1,53,0,1,0,53,26
1,.44999,4209,1,1,26,0,1,0,26,0
1,.65560699,3603,0,1,65,0,1,0,65,53
1,.641864,3603,0,1,72,0,1,0,72,65
1,.639678,1807,0,1,78,0,1,0,78,65
1,.63192999,1807,0,1,65,0,1,0,65,53
.80000001,.82812798,4101,1,0,26,0,1,0,26,0
1,.32459399,909,1,0,53,0,1,0,53,26
.95999998,.51151103,204,1,1,26,0,1,0,26,0
1,.40592301,4404,1,1,76,0,1,0,76,65
.69,1.28918,533,0,0,26,0,1,0,26,0
1,.305062,909,1,0,58,0,1,0,58,53
.94,.451756,202,1,0,53,0,1,0,53,26
.67000002,1.41838,527,0,1,26,0,1,0,26,0
.94,.43252501,202,1,0,26,0,1,0,26,0
1,.368963,4404,1,1,65,0,1,0,65,53
1,.36735901,4404,1,1,26,0,1,0,26,0
1,.57100302,3008,0,1,75,0,1,0,75,65
1,.363561,4404,1,1,53,0,1,0,53,26
1,.56765598,3008,0,1,26,0,1,0,26,0
1,.270816,905,1,0,53,0,1,0,53,26
1,.262153,905,1,0,65,0,1,0,65,53
.94,.40502301,202,1,0,61,0,1,0,61,53
1,.46108499,1601,0,0,84,0,1,0,84,78
1,.54759598,3008,0,1,53,0,1,0,53,26
1,.53337902,1809,0,1,90,0,1,0,90,78
1,.232545,4407,1,0,53,0,1,0,53,26
1,.52593499,3008,0,1,65,0,1,0,65,53
1,.31794301,903,1,1,53,0,1,0,53,26
1,.22361401,909,1,0,26,0,1,0,26,0
1,.42829001,1601,0,0,78,0,1,0,78,65
1,.222288,912,1,0,78,0,1,0,78,65
1,.31141299,903,1,1,26,0,1,0,26,0
.74000001,1.1630599,3313,0,1,26,0,1,0,26,0
1,.21112201,905,1,0,26,0,1,0,26,0
1,.50062799,1809,0,1,78,0,1,0,78,65
1,.20250399,4407,1,0,26,0,1,0,26,0
1,.49761999,1807,0,1,26,0,1,0,26,0
1,.49552101,1807,0,1,53,0,1,0,53,26
1,.282619,1008,1,1,53,0,1,0,53,26
1,.191651,912,1,0,65,0,1,0,65,53
.99000001,.51045501,504,0,1,56,0,1,0,56,53
1,.48385099,3309,0,1,89,0,1,0,89,78
1,.27228299,1008,1,1,65,0,1,0,65,53
.99000001,.50286299,504,0,1,53,0,1,0,53,26
1,.18121301,912,1,0,53,0,1,0,53,26
.99000001,.50006402,504,0,1,26,0,1,0,26,0
1,.26728499,1008,1,1,71,0,1,0,71,65
1,.37697801,1601,0,0,53,0,1,0,53,26
1,.37481001,1601,0,0,65,0,1,0,65,53
1,.167404,4403,1,0,49,0,1,0,49,26
1,.25669,917,1,1,26,0,1,0,26,0
1,.16673701,912,1,0,26,0,1,0,26,0
.97000003,.53189301,2116,0,1,78,0,1,0,78,65
1,.157141,4403,1,0,26,0,1,0,26,0
1,.36081001,1601,0,0,26,0,1,0,26,0
.97000003,.52327698,2116,0,1,84,0,1,0,84,78
1,.13961101,912,1,0,88,0,1,0,88,78
1,.21886601,1008,1,1,26,0,1,0,26,0
1,.216381,917,1,1,31,0,1,0,31,26
1,.216024,4227,1,1,63,0,1,0,63,53
1,.21389499,4227,1,1,53,0,1,0,53,26
.79000002,.644472,4207,1,0,53,0,1,0,53,26
.97000003,.48954201,2116,0,1,65,0,1,0,65,53
1,.412543,1809,0,1,65,0,1,0,65,53
1,.20524199,4227,1,1,26,0,1,0,26,0
1,.112483,4208,1,0,63,0,1,0,63,53
1,.40696201,3309,0,1,78,0,1,0,78,65
1,.110724,4208,1,0,26,0,1,0,26,0
.74000001,1.05435,1408,0,1,64,0,1,0,64,53
.74000001,1.05246,1408,0,1,53,0,1,0,53,26
.79000002,.62942898,4207,1,0,63,0,1,0,63,53
1,.31037501,3404,0,0,53,0,1,0,53,26
.99000001,.127572,902,1,0,45,0,1,0,45,26
1,.39417201,1809,0,1,53,0,1,0,53,26
1,.187374,1003,1,1,39,0,1,0,39,26
.92000002,.38470501,4224,1,1,53,0,1,0,53,26
